id,agent,time,score
353,2,28,900
354,2,39,1500
355,2,74,3900
356,2,77,3700
357,2,23,-300
358,2,66,2300
359,2,20,-500
360,2,27,100
361,2,52,2200
362,2,27,-300
363,2,75,3200
364,2,28,-600
365,2,11,-500
366,2,9,-500
367,2,69,2600
368,2,75,3000
369,2,19,-300
370,2,9,-1000
371,2,25,-200
372,2,11,-1000
373,2,17,-500
374,2,23,-400
375,2,13,-1000
376,2,22,-500
377,2,26,-600
378,2,12,-1000
379,2,18,-800
380,2,57,2100
381,2,9,-1000
382,2,10,-1000
383,2,21,-500
384,2,40,800
385,2,15,-500
386,2,5,-1000
387,2,13,-1000
388,2,1,-1000
389,2,34,0
390,2,22,-400
391,2,6,-500
392,2,14,-500
393,2,52,2000
394,2,4,-1000
395,2,24,100
396,2,21,-300
397,2,24,-100
398,2,29,100
399,2,51,2100
400,2,30,-400
401,2,19,-500
402,2,61,2300
403,2,61,2700
404,2,14,-500
405,2,54,1900
406,2,1,-500
407,2,18,-1000
408,2,29,200
409,2,27,-200
410,2,45,900
411,2,37,900
412,2,15,-500
413,2,19,-1000
414,2,17,-300
415,2,19,-500
416,2,18,-300
417,2,17,-800
418,2,51,1500
419,2,3,-500
420,2,18,-1000
421,2,16,-500
422,2,15,-500
423,2,16,-500
424,2,18,-800
425,2,38,600
426,2,17,-300
427,2,14,-500
428,2,20,-1000
429,2,32,500
430,2,19,-500
431,2,23,-600
432,2,25,-100
433,2,17,-500
434,2,20,-300
435,2,48,1300
436,2,20,-800
437,2,29,-600
438,2,16,-1000
439,2,9,-1000
440,2,17,-800
441,2,22,-300
442,2,81,4300
443,2,23,-300
444,2,14,-500
445,2,18,-1000
446,2,47,1500
447,2,19,-800
448,2,86,3000
449,2,12,-500
450,2,20,-300
451,2,24,-300
452,2,4,-500
453,2,4,-500
454,2,16,-500
455,2,27,100
456,2,15,-500
457,2,16,-500
458,2,19,-800
459,2,38,900
460,2,29,300
461,2,11,-1000
462,2,16,-1000
463,2,16,-500
464,2,17,-500
465,2,26,-600
466,2,4,-500
467,2,24,-300
468,2,61,1400
469,2,30,400
470,2,35,600
471,2,27,100
472,2,27,-200
473,2,16,-500
474,2,14,-1000
475,2,14,-500
476,2,15,-500
477,2,6,-1000
478,2,33,0
479,2,106,6100
480,2,19,-1000
481,2,18,-1000
482,2,51,1400
483,2,20,-800
484,2,15,-1000
485,2,19,-1000
486,2,10,-500
487,2,17,-500
488,2,14,-1000
489,2,34,800
490,2,35,200
491,2,14,-1000
492,2,47,1700
493,2,21,-300
494,2,25,-300
495,2,21,-800
496,2,16,-500
497,2,13,-500
498,2,17,-300
499,2,28,-400
500,2,41,1000
501,2,30,100
502,2,5,-1000
503,2,41,900
504,2,21,-600
505,2,6,-500
506,2,47,1400
507,2,8,-500
508,2,15,-1000
509,2,62,2500
510,2,51,1200
511,2,60,2400
512,2,29,300
513,2,14,-500
514,2,6,-1000
515,2,17,-300
516,2,34,300
517,2,22,-300
518,2,23,-800
519,2,20,-300
520,2,16,-1000
521,2,13,-1000
522,2,27,-400
523,2,41,1300
524,2,77,2600
525,2,26,100
526,2,7,-500
527,2,37,500
528,2,28,-400
529,2,14,-500
530,2,21,-500
531,2,46,1500
532,2,53,1900
533,2,57,1100
534,2,74,3300
535,2,33,0
536,2,17,-1000
537,2,55,1600
538,2,19,-300
539,2,23,-100
540,2,41,800
541,2,23,-100
542,2,16,-500
543,2,19,-100
544,2,16,-300
545,2,17,-1000
546,2,15,-500
547,2,25,-200
548,2,17,-1000
549,2,34,100
550,2,14,-1000
551,2,27,500
552,2,26,300
553,2,8,-1000
554,2,17,-500
555,2,1,-500
556,2,7,-500
557,2,20,-300
558,2,59,1800
559,2,6,-500
560,2,42,1300
561,2,26,300
562,2,37,1100
563,2,31,300
564,2,20,-600
565,2,25,-200
566,2,22,-600
567,2,21,-800
568,2,31,-400
569,2,16,-1000
570,2,14,-500
571,2,69,2800
572,2,27,-600
573,2,5,-500
574,2,25,-200
575,2,32,700
576,2,23,-200
577,2,16,-800
578,2,15,-500
579,2,20,-300
580,2,36,1100
581,2,12,-1000
582,2,40,500
583,2,19,-1000
584,2,16,-500
585,2,21,-500
586,2,9,-500
587,2,39,1300
588,2,19,-800
589,2,13,-1000
590,2,51,2100
591,2,92,4900
592,2,9,-500
593,2,1,-500
594,2,51,1200
595,2,28,100
596,2,9,-1000
597,2,2,-1000
598,2,32,100
599,2,17,-500
600,2,47,1000
601,2,22,-600
602,2,28,300
603,2,38,900
604,2,16,-500
605,2,32,500
606,2,14,-1000
607,2,11,-500
608,2,25,-600
609,2,2,-1000
610,2,16,-500
611,2,20,-1000
612,2,23,-500
613,2,15,-1000
614,2,5,-500
615,2,49,2100
616,2,48,1500
617,2,1,-1000
618,2,26,300
619,2,20,100
620,2,7,-500
621,2,90,4600
622,2,14,-1000
623,2,40,1300
624,2,3,-500
625,2,51,2100
626,2,17,-500
