id,agent,time,score
355,4,28,700
356,4,12,-500
357,4,9,-1000
358,4,24,300
359,4,59,1900
360,4,17,-800
361,4,13,-1000
362,4,12,-500
363,4,36,700
364,4,16,-1000
365,4,21,-600
366,4,19,-800
367,4,11,-1000
368,4,19,-800
369,4,20,-1000
370,4,3,-1000
371,4,32,700
372,4,14,-500
373,4,74,3500
374,4,50,2300
375,4,16,-300
376,4,49,800
377,4,64,2600
378,4,80,2900
379,4,120,5300
380,4,12,-1000
381,4,15,-1000
382,4,11,-500
383,4,59,2200
384,4,6,-500
385,4,14,-800
386,4,11,-1000
387,4,45,1200
388,4,11,-500
389,4,8,-500
390,4,41,600
391,4,10,-1000
392,4,19,-800
393,4,11,-500
394,4,57,2500
395,4,45,600
396,4,11,-1000
397,4,34,700
398,4,14,-800
399,4,27,300
400,4,92,3700
401,4,9,-1000
402,4,39,900
403,4,19,-800
404,4,4,-1000
405,4,28,-800
406,4,25,-600
407,4,64,2200
408,4,30,0
409,4,21,300
410,4,12,-500
411,4,12,-1000
412,4,15,-500
413,4,58,2500
414,4,34,900
415,4,27,600
416,4,4,-1000
417,4,10,-500
418,4,41,400
419,4,101,5100
420,4,10,-1000
421,4,15,-500
422,4,84,3000
423,4,6,-1000
424,4,21,-600
425,4,47,1000
426,4,12,-500
427,4,12,-500
428,4,12,-500
429,4,49,1700
430,4,42,600
431,4,10,-500
432,4,16,-300
433,4,28,300
434,4,55,1900
435,4,9,-1000
436,4,21,-600
437,4,22,-100
438,4,45,1300
439,4,55,2300
440,4,71,2500
441,4,39,400
442,4,34,700
443,4,20,-300
444,4,17,-500
445,4,22,300
446,4,95,4500
447,4,10,-500
448,4,39,1100
449,4,12,-300
450,4,10,-1000
451,4,14,-1000
452,4,14,-1000
453,4,77,3300
454,4,28,0
455,4,13,-1000
456,4,33,200
457,4,99,4700
458,4,17,-500
459,4,17,-800
460,4,16,-400
461,4,4,-500
462,4,30,-200
463,4,10,-500
464,4,10,-500
465,4,11,-500
466,4,14,-1000
467,4,9,-1000
468,4,23,100
469,4,11,-1000
470,4,30,700
471,4,64,2200
472,4,21,-500
473,4,79,3000
474,4,37,700
475,4,120,5700
476,4,32,700
477,4,12,-500
478,4,25,200
479,4,13,-600
480,4,14,-800
481,4,19,-300
482,4,16,-300
483,4,27,700
484,4,13,-500
485,4,4,-500
486,4,75,2900
487,4,14,-500
488,4,28,500
489,4,92,3200
490,4,11,-500
491,4,2,-500
492,4,19,100
493,4,9,-300
494,4,21,-400
495,4,17,-1000
496,4,18,-800
497,4,87,3900
498,4,90,3200
499,4,19,100
500,4,11,-500
501,4,25,500
502,4,71,3100
503,4,10,-1000
504,4,16,-300
505,4,67,2500
506,4,14,-500
507,4,48,1300
508,4,4,-1000
509,4,26,0
510,4,2,-500
511,4,45,1100
512,4,14,-500
513,4,37,900
514,4,25,-400
515,4,18,-500
516,4,13,-1000
517,4,12,-500
518,4,11,-1000
519,4,20,-400
520,4,17,-300
521,4,15,-800
522,4,92,4500
523,4,1,-500
524,4,15,-800
525,4,15,-1000
526,4,22,-300
527,4,12,-500
528,4,36,200
529,4,37,800
530,4,17,-600
531,4,43,400
532,4,12,-500
533,4,8,-500
534,4,24,100
535,4,32,700
536,4,52,1600
537,4,9,-500
538,4,37,900
539,4,8,-500
540,4,45,1200
541,4,15,-300
542,4,12,-500
543,4,22,-400
544,4,54,1900
545,4,31,700
546,4,17,-300
547,4,29,700
548,4,24,300
549,4,9,-1000
550,4,56,1900
551,4,35,-200
552,4,9,-1000
553,4,14,-100
554,4,53,2100
555,4,14,-1000
556,4,12,-1000
557,4,11,-500
558,4,31,200
559,4,15,-500
560,4,2,-500
561,4,29,500
562,4,57,2100
563,4,48,1700
564,4,48,1500
565,4,34,200
566,4,12,-500
567,4,26,-600
568,4,12,-500
569,4,28,500
