id,agent,time,score
352,3,23,-600
353,3,54,2500
354,3,22,-600
355,3,13,-500
356,3,9,-500
357,3,56,2500
358,3,64,1600
359,3,25,-100
360,3,28,-400
361,3,19,-1000
362,3,13,-1000
363,3,44,1000
364,3,48,1700
365,3,20,-500
366,3,7,-500
367,3,64,3100
368,3,16,-300
369,3,42,600
370,3,37,1000
371,3,8,-500
372,3,14,-1000
373,3,16,-1000
374,3,14,-500
375,3,16,-300
376,3,19,-800
377,3,18,-800
378,3,28,300
379,3,14,-500
380,3,45,800
381,3,14,-1000
382,3,27,-600
383,3,5,-1000
384,3,33,-200
385,3,23,100
386,3,13,-500
387,3,10,-500
388,3,17,-500
389,3,12,-500
390,3,10,-1000
391,3,14,-500
392,3,54,1500
393,3,12,-500
394,3,15,-500
395,3,23,-600
396,3,29,500
397,3,20,-500
398,3,21,-300
399,3,20,-300
400,3,15,-500
401,3,41,1000
402,3,20,-100
403,3,7,-500
404,3,4,-1000
405,3,32,-200
406,3,18,-1000
407,3,41,1300
408,3,17,-500
409,3,18,-100
410,3,19,-800
411,3,16,-500
412,3,14,-500
413,3,5,-500
414,3,12,-1000
415,3,18,-500
416,3,22,-300
417,3,18,-500
418,3,17,-500
419,3,46,1700
420,3,31,400
421,3,39,400
422,3,24,-100
423,3,8,-500
424,3,14,-500
425,3,16,-1000
426,3,44,800
427,3,29,300
428,3,15,-1000
429,3,13,-500
430,3,22,-800
431,3,6,-1000
432,3,14,-1000
433,3,13,-500
434,3,16,-1000
435,3,32,500
436,3,81,3900
437,3,2,-1000
438,3,15,-500
439,3,30,300
440,3,11,-500
441,3,90,5000
442,3,26,700
443,3,5,-1000
444,3,13,-500
445,3,9,-1000
446,3,53,1900
447,3,40,1900
448,3,15,-500
449,3,15,-500
450,3,3,-1000
451,3,13,-500
452,3,10,-500
453,3,28,100
454,3,19,-1000
455,3,16,-1000
456,3,15,-800
457,3,21,-600
458,3,18,-1000
459,3,16,-500
460,3,19,-800
461,3,16,-1000
462,3,26,-300
463,3,18,-1000
464,3,10,-500
465,3,17,-500
466,3,13,-1000
467,3,21,-1000
468,3,22,-300
469,3,29,-400
470,3,12,-500
471,3,21,-500
472,3,25,100
473,3,29,-600
474,3,13,-500
475,3,19,-300
476,3,9,-1000
477,3,6,-500
478,3,58,2500
479,3,39,600
480,3,20,-800
481,3,21,100
482,3,75,3500
483,3,20,-800
484,3,17,-500
485,3,15,-500
486,3,22,100
487,3,4,-500
488,3,20,-500
489,3,23,-800
490,3,45,800
491,3,29,-200
492,3,10,-1000
493,3,18,-300
494,3,19,-800
495,3,14,-500
496,3,20,-300
497,3,5,-500
498,3,13,-1000
499,3,29,-600
500,3,18,-500
501,3,104,5600
502,3,41,1100
503,3,24,-300
504,3,16,-500
505,3,9,-500
506,3,10,-1000
507,3,74,3200
508,3,16,-1000
509,3,18,-500
510,3,25,-600
511,3,67,3100
512,3,18,-500
513,3,27,-600
514,3,32,-400
515,3,33,1100
516,3,6,-1000
517,3,47,2100
518,3,25,-100
519,3,29,300
520,3,18,-1000
521,3,12,-1000
522,3,6,-500
523,3,10,-500
524,3,53,400
525,3,19,-300
526,3,13,-500
527,3,25,-500
528,3,24,-600
529,3,13,-500
530,3,16,-1000
531,3,19,-800
532,3,19,-600
533,3,17,-800
534,3,28,100
535,3,18,-500
536,3,22,-300
537,3,12,-500
538,3,18,-300
539,3,69,2200
540,3,61,2700
541,3,33,100
542,3,16,-800
543,3,2,-1000
544,3,49,1500
545,3,21,-300
546,3,88,4500
547,3,16,-500
548,3,23,-600
549,3,20,-100
550,3,42,1200
551,3,11,-1000
552,3,8,-1000
553,3,12,-500
554,3,17,-300
555,3,53,1900
556,3,20,-1000
557,3,30,500
558,3,3,-1000
559,3,16,-500
560,3,40,900
561,3,6,-1000
562,3,20,-500
563,3,50,2300
564,3,8,-500
565,3,24,-100
566,3,5,-1000
567,3,27,-600
568,3,23,-800
569,3,21,-1000
570,3,12,-500
571,3,28,-400
572,3,19,-500
573,3,15,-800
574,3,2,-1000
575,3,25,-600
576,3,18,-1000
577,3,65,2700
578,3,15,-500
579,3,17,-500
580,3,18,-1000
581,3,22,100
582,3,25,-600
583,3,16,-300
584,3,11,-1000
585,3,23,-400
586,3,4,-500
587,3,17,-500
588,3,25,-100
589,3,20,-300
590,3,32,700
591,3,25,-300
592,3,16,-1000
593,3,15,-1000
594,3,8,-1000
595,3,22,-1000
596,3,22,-300
597,3,15,-500
598,3,20,-500
599,3,17,-600
600,3,41,1300
601,3,15,-300
602,3,14,-500
603,3,25,-300
604,3,27,100
605,3,19,-500
606,3,14,-500
607,3,19,-1000
608,3,16,-1000
609,3,28,100
610,3,32,800
611,3,32,0
612,3,13,-1000
613,3,23,-800
614,3,13,-500
615,3,16,-500
616,3,3,-1000
617,3,41,1300
618,3,43,1700
619,3,17,-500
620,3,22,-300
621,3,20,-1000
622,3,21,-300
623,3,18,-300
624,3,14,-1000
625,3,19,-500
626,3,34,1100
627,3,23,-500
628,3,17,-500
629,3,22,-800
630,3,31,1300
631,3,21,-500
632,3,9,-500
633,3,24,-400
634,3,22,-600
635,3,12,-500
636,3,32,-600
637,3,11,-500
638,3,16,-1000
639,3,14,-500
640,3,16,-500
641,3,16,-1000
642,3,11,-500
643,3,54,1000
644,3,17,-300
645,3,23,-600
646,3,22,-100
647,3,16,-1000
648,3,36,700
649,3,19,-600
650,3,17,-500
651,3,39,1300
652,3,30,100
653,3,8,-500
654,3,46,1500
655,3,19,-800
656,3,46,1500
657,3,3,-500
658,3,8,-500
659,3,36,1300
660,3,13,-1000
661,3,23,-300
662,3,24,-300
663,3,15,-1000
664,3,18,-500
665,3,72,2200
666,3,12,-500
667,3,28,100
668,3,34,500
669,3,12,-500
670,3,27,-600
671,3,12,-500
672,3,15,-500
673,3,13,-1000
674,3,23,-100
675,3,9,-500
676,3,26,-300
677,3,22,-500
678,3,19,-800
679,3,22,-500
680,3,12,-1000
681,3,13,-500
682,3,21,-500
683,3,29,-400
684,3,54,2300
685,3,18,-500
686,3,4,-500
687,3,19,-1000
688,3,29,300
689,3,22,-1000
690,3,13,-500
691,3,12,-1000
692,3,17,-500
693,3,16,-500
694,3,29,-300
695,3,7,-500
696,3,16,-1000
697,3,17,-1000
698,3,11,-500
699,3,12,-500
700,3,40,800
701,3,7,-1000
702,3,31,0
703,3,27,-100
704,3,14,-500
705,3,44,1200
706,3,25,-600
707,3,55,2000
708,3,13,-500
709,3,24,-600
710,3,17,-1000
711,3,26,100
712,3,12,-500
713,3,30,300
714,3,20,-800
715,3,7,-500
716,3,18,-500
717,3,3,-500
718,3,20,-300
719,3,18,-1000
720,3,13,-500
721,3,12,-1000
722,3,22,-500
723,3,6,-1000
724,3,6,-1000
725,3,12,-1000
726,3,16,-100
727,3,14,-1000
728,3,4,-1000
729,3,8,-500
730,3,7,-500
731,3,17,-1000
732,3,96,4700
733,3,21,-300
734,3,13,-500
735,3,7,-500
736,3,16,-500
737,3,13,-500
738,3,21,-800
739,3,20,-600
740,3,25,300
741,3,14,-500
742,3,58,2000
743,3,27,-400
744,3,20,-1000
745,3,24,-300
746,3,19,-500
747,3,24,-300
748,3,64,2700
749,3,18,-1000
750,3,7,-500
751,3,18,-800
752,3,5,-500
753,3,13,-500
754,3,16,-500
755,3,22,-800
756,3,19,-500
757,3,20,-800
758,3,29,100
759,3,31,500
760,3,79,4000
761,3,33,0
762,3,15,-500
763,3,33,400
764,3,20,-800
765,3,16,-500
766,3,29,-100
767,3,29,300
768,3,18,-300
769,3,30,-300
770,3,19,-300
771,3,19,-500
772,3,14,-800
773,3,20,-500
774,3,12,-500
775,3,11,-1000
776,3,16,-1000
777,3,24,-100
778,3,16,-1000
779,3,13,-1000
780,3,16,-800
781,3,21,-500
782,3,42,1100
783,3,19,-600
784,3,19,-1000
785,3,33,0
786,3,14,-1000
787,3,14,-500
788,3,33,-400
789,3,24,100
790,3,52,1600
791,3,74,2800
792,3,14,-500
793,3,22,-300
794,3,47,400
795,3,39,1500
796,3,56,2100
797,3,17,-500
798,3,19,-500
799,3,21,-100
800,3,13,-500
801,3,19,-300
802,3,27,200
803,3,31,-200
804,3,47,1400
805,3,21,-400
806,3,41,700
807,3,25,100
808,3,43,2300
809,3,68,2800
810,3,29,700
811,3,18,-500
812,3,18,-500
813,3,21,-300
814,3,20,-1000
815,3,11,-500
816,3,20,-1000
817,3,11,-1000
818,3,34,0
819,3,7,-500
820,3,29,700
821,3,10,-1000
822,3,20,-500
823,3,17,-500
824,3,14,-500
825,3,58,1400
826,3,22,-600
827,3,16,-1000
828,3,14,-1000
829,3,15,-1000
830,3,52,1900
831,3,9,-500
832,3,21,-400
833,3,46,1500
834,3,36,600
835,3,25,-300
836,3,32,500
837,3,15,-500
838,3,20,-300
839,3,16,-500
840,3,19,-500
841,3,17,-500
842,3,24,-600
843,3,22,-800
844,3,7,-1000
845,3,10,-1000
846,3,24,300
847,3,26,0
848,3,14,-1000
849,3,13,-1000
850,3,18,-500
851,3,5,-1000
852,3,19,-500
853,3,14,-500
854,3,6,-1000
855,3,35,1100
856,3,38,400
857,3,14,-1000
858,3,14,-1000
859,3,17,-300
860,3,27,700
861,3,38,500
862,3,13,-500
863,3,14,-500
864,3,3,-1000
865,3,38,900
866,3,45,2100
867,3,8,-500
868,3,26,-600
869,3,29,0
870,3,26,-600
871,3,16,-1000
872,3,19,-500
873,3,16,-1000
874,3,23,-800
875,3,23,-800
876,3,37,1000
877,3,19,-500
878,3,15,-800
879,3,31,1100
880,3,40,800
881,3,21,-500
882,3,27,-100
883,3,4,-500
884,3,14,-500
885,3,31,-100
886,3,33,600
887,3,16,-1000
888,3,16,-800
889,3,15,-1000
890,3,41,900
891,3,18,-800
892,3,20,-300
893,3,19,-1000
894,3,16,-500
895,3,57,1900
896,3,21,-1000
897,3,32,300
898,3,26,-300
899,3,18,-1000
900,3,17,-500
901,3,13,-500
902,3,55,2000
903,3,11,-500
904,3,21,-600
905,3,14,-500
906,3,11,-500
907,3,23,-800
908,3,33,200
909,3,9,-500
910,3,20,-500
911,3,21,-100
912,3,5,-500
913,3,24,-300
914,3,25,-800
915,3,54,2300
916,3,33,700
917,3,47,1900
918,3,1,-500
919,3,43,1700
920,3,26,-600
921,3,18,-1000
922,3,17,-1000
923,3,12,-500
924,3,19,-1000
925,3,13,-1000
926,3,21,100
927,3,21,-1000
928,3,19,-500
929,3,18,-1000
930,3,35,-400
931,3,5,-1000
932,3,33,100
933,3,8,-1000
934,3,12,-1000
935,3,59,2100
936,3,10,-500
937,3,92,4800
938,3,16,-500
939,3,16,-500
940,3,18,-1000
941,3,20,-100
942,3,38,200
943,3,18,-1000
944,3,17,-800
945,3,22,-800
946,3,13,-1000
947,3,19,-800
948,3,18,-1000
949,3,24,-600
950,3,17,-500
951,3,17,-1000
952,3,20,-600
953,3,26,500
954,3,12,-1000
955,3,14,-1000
956,3,28,-200
957,3,22,-400
958,3,20,-100
959,3,28,100
960,3,21,-300
961,3,34,500
962,3,13,-1000
963,3,24,-300
964,3,21,-100
965,3,22,-200
966,3,1,-500
967,3,23,-100
968,3,14,-1000
969,3,18,-800
970,3,19,-800
971,3,42,1300
972,3,23,-100
973,3,34,400
974,3,37,400
975,3,34,600
976,3,18,-1000
977,3,18,-500
978,3,19,-1000
979,3,10,-1000
980,3,17,-1000
981,3,15,-500
982,3,19,-800
983,3,22,-100
984,3,16,-500
985,3,19,100
986,3,12,-1000
987,3,11,-500
988,3,18,-300
989,3,47,1900
990,3,19,-300
991,3,17,-500
992,3,14,-1000
993,3,5,-500
994,3,16,-500
995,3,13,-1000
996,3,16,-500
997,3,65,2400
998,3,14,-500
999,3,17,-500
1000,3,14,-500
1001,3,22,-100
1002,3,26,500
1003,3,11,-500
1004,3,4,-1000
1005,3,34,900
1006,3,16,-1000
1007,3,8,-1000
1008,3,99,4300
1009,3,30,300
1010,3,51,1900
1011,3,25,-400
1012,3,45,1800
1013,3,18,-1000
1014,3,81,3200
1015,3,18,-500
1016,3,8,-1000
1017,3,69,3300
1018,3,2,-500
1019,3,54,2100
1020,3,9,-1000
1021,3,12,-1000
1022,3,13,-1000
1023,3,12,-1000
1024,3,9,-1000
1025,3,16,-300
1026,3,48,1000
1027,3,20,-1000
1028,3,18,-1000
1029,3,10,-500
1030,3,18,-1000
1031,3,36,900
1032,3,65,3300
1033,3,19,-500
1034,3,17,-1000
1035,3,21,-1000
