id,agent,time,score
314,3,27,-200

315,3,21,-400

316,3,23,-800

317,3,49,1000

318,3,33,100

319,3,4,-1000

320,3,31,-400

321,3,42,600

322,3,18,-1000

323,3,17,-300

324,3,41,600

325,3,17,-800

326,3,21,-800

327,3,50,1400

328,3,6,-500

329,3,45,1200

330,3,35,0

331,3,37,700

332,3,15,-500

333,3,15,-500

334,3,17,-800

335,3,31,100

336,3,17,-1000

337,3,41,600

338,3,18,-300

339,3,7,-500

340,3,26,-200

341,3,21,-200

342,3,24,-1000

343,3,22,-800

344,3,47,1500

345,3,14,-500

346,3,17,-800

347,3,19,-500

348,3,20,-100

349,3,39,1300

350,3,20,-1000

351,3,18,-300

352,3,8,-1000

353,3,18,-1000

354,3,8,-500

355,3,19,-800

356,3,38,600

357,3,18,-800

358,3,16,-500

359,3,31,500

360,3,15,-500

361,3,29,700

362,3,17,-1000

363,3,21,-100

364,3,13,-500

365,3,25,100

366,3,24,-200

367,3,18,-800

368,3,19,-1000

369,3,14,-500

370,3,18,-500

371,3,12,-500

372,3,57,2300

373,3,25,-100

374,3,25,100

375,3,23,-100

376,3,25,-400

377,3,22,100

378,3,4,-1000

379,3,58,2100

380,3,13,-1000

381,3,12,-1000

382,3,7,-500

383,3,23,-600

384,3,25,-600

385,3,14,-1000

386,3,13,-1000

387,3,78,3200

388,3,22,-500

389,3,16,-300

390,3,5,-500

391,3,17,-300

392,3,26,-600

393,3,11,-500

394,3,18,-500

395,3,13,-1000

396,3,16,-500

397,3,41,1300

398,3,45,1700

399,3,3,-500

400,3,13,-500

401,3,22,-400

402,3,5,-1000

403,3,20,-1000

404,3,14,-1000

405,3,30,700

406,3,2,-500

407,3,24,300

408,3,13,-500

409,3,19,-1000

410,3,10,-500

411,3,19,-500

412,3,10,-1000

413,3,34,200

414,3,39,800

415,3,43,1300

416,3,17,-1000

417,3,19,-1000

418,3,16,-500

419,3,20,-300

420,3,14,-500

421,3,14,-1000

422,3,22,-1000

423,3,22,-500

424,3,34,500

425,3,29,-100

426,3,11,-1000

427,3,31,300

428,3,13,-500

429,3,34,200

430,3,7,-500

431,3,22,-400

432,3,20,-300

433,3,24,-300

434,3,9,-1000

435,3,16,-500

436,3,16,-500

437,3,20,-500

438,3,52,1200

439,3,33,600

440,3,21,-800

441,3,22,-800

442,3,28,300

443,3,24,-600

444,3,10,-500

445,3,34,700

446,3,16,-1000

447,3,22,-100

448,3,15,-500

449,3,19,-1000

450,3,2,-500

451,3,18,-300

452,3,71,3100

453,3,5,-1000

454,3,16,-1000

455,3,8,-500

456,3,14,-1000

457,3,35,-200

458,3,56,2500

459,3,25,-600

460,3,4,-500

461,3,33,-100

462,3,59,1900

463,3,15,-1000

464,3,7,-500

465,3,59,1600

466,3,11,-1000

467,3,21,-800

468,3,23,100

469,3,22,-1000

470,3,22,-600

471,3,13,-1000

472,3,15,-1000

473,3,14,-1000

474,3,14,-500

475,3,13,-500

476,3,26,300

477,3,20,-1000

478,3,9,-500

479,3,16,-500

480,3,19,-1000

481,3,14,-500

482,3,18,-500

483,3,14,-1000

484,3,15,-1000

485,3,14,-1000

486,3,1,-500

487,3,18,-300

488,3,17,-1000

489,3,17,-1000

490,3,41,1300

491,3,19,-800

492,3,17,-1000

493,3,15,-500

494,3,17,-1000

495,3,24,-400

496,3,11,-500

497,3,23,700

498,3,22,-1000

499,3,19,-300

500,3,28,500

501,3,31,0

502,3,39,1500

503,3,28,300

504,3,32,700

505,3,15,-1000

506,3,17,-1000

507,3,14,-1000

508,3,19,-500

509,3,36,700

510,3,21,-100

511,3,35,300

512,3,45,1000

513,3,50,2300

514,3,20,-100

515,3,41,1300

516,3,25,-100

517,3,24,-400

518,3,39,400

519,3,40,1100

520,3,50,1200

521,3,52,1600

522,3,23,-300

523,3,18,-1500

524,3,13,-1000

525,3,14,-500

526,3,23,-800

527,3,45,1200

528,3,15,-500

529,3,24,-100

530,3,13,-500

531,3,15,-500

532,3,16,-1000

533,3,7,-1000

534,3,39,1100

535,3,15,-500

536,3,17,-500

537,3,27,100

538,3,34,500

539,3,31,300

540,3,16,-1000

541,3,21,-400

542,3,26,-800

543,3,57,2500

544,3,5,-500

545,3,12,-500

546,3,14,-500

547,3,19,-500

